+-------------------------------------+-------+
| material                            | id    |
+-------------------------------------+-------+
| acacia_boat                         | 14499 |
| acacia_button                       | 79861 |
| acacia_chest_boat                   | 76769 |
| acacia_door                         | 74513 |
| acacia_fence                        | 46382 |
| acacia_fence_gate                   | 65276 |
| acacia_leaves                       | 30623 |
| acacia_log                          | 2817  |
| acacia_planks                       | 4372  |
| acacia_pressure_plate               | 41343 |
| acacia_sapling                      | 34773 |
| acacia_sign                         | 15360 |
| acacia_slab                         | 18045 |
| acacia_stairs                       | 75405 |
| acacia_trapdoor                     | 44958 |
| acacia_wall_sign                    | 64623 |
| acacia_wood                         | 40528 |
| activator_rail                      | 55164 |
| air                                 | 96586 |
| allay_spawn_egg                     | 46875 |
| allium                              | 89984 |
| amethyst_block                      | 2747  |
| amethyst_cluster                    | 22184 |
| amethyst_shard                      | 70444 |
| ancient_debris                      | 56898 |
| andesite                            | 56341 |
| andesite_slab                       | 54212 |
| andesite_stairs                     | 72340 |
| andesite_wall                       | 63156 |
| anvil                               | 75308 |
| apple                               | 29210 |
| armor_stand                         | 83510 |
| arrow                               | 90825 |
| attached_melon_stem                 | 47984 |
| attached_pumpkin_stem               | 51291 |
| axolotl_bucket                      | 214   |
| axolotl_spawn_egg                   | 24885 |
| azalea                              | 93952 |
| azalea_leaves                       | 94875 |
| azure_bluet                         | 40170 |
| baked_potato                        | 72859 |
| bamboo                              | 83284 |
| bamboo_sapling                      | 19117 |
| barrel                              | 47302 |
| barrier                             | 24183 |
| basalt                              | 60981 |
| bat_spawn_egg                       | 51095 |
| beacon                              | 20836 |
| bedrock                             | 17190 |
| bee_nest                            | 36053 |
| bee_spawn_egg                       | 48580 |
| beef                                | 19812 |
| beehive                             | 37618 |
| beetroot                            | 58644 |
| beetroot_seeds                      | 83575 |
| beetroot_soup                       | 91650 |
| beetroots                           | 45119 |
| bell                                | 20035 |
| big_dripleaf                        | 27922 |
| big_dripleaf_stem                   | 49078 |
| birch_boat                          | 84687 |
| birch_button                        | 36129 |
| birch_chest_boat                    | 54093 |
| birch_door                          | 44701 |
| birch_fence                         | 85730 |
| birch_fence_gate                    | 75304 |
| birch_leaves                        | 86891 |
| birch_log                           | 54645 |
| birch_planks                        | 60640 |
| birch_pressure_plate                | 44171 |
| birch_sapling                       | 13673 |
| birch_sign                          | 85548 |
| birch_slab                          | 88233 |
| birch_stairs                        | 31673 |
| birch_trapdoor                      | 61930 |
| birch_wall_sign                     | 54275 |
| birch_wood                          | 10716 |
| black_banner                        | 20108 |
| black_bed                           | 18305 |
| black_candle                        | 39853 |
| black_candle_cake                   | 16554 |
| black_carpet                        | 70347 |
| black_concrete                      | 38597 |
| black_concrete_powder               | 16947 |
| black_dye                           | 20848 |
| black_glazed_terracotta             | 61831 |
| black_shulker_box                   | 97944 |
| black_stained_glass                 | 71649 |
| black_stained_glass_pane            | 35238 |
| black_terracotta                    | 45989 |
| black_wall_banner                   | 3809  |
| black_wool                          | 97461 |
| blackstone                          | 78470 |
| blackstone_slab                     | 15635 |
| blackstone_stairs                   | 27299 |
| blackstone_wall                     | 24579 |
| blast_furnace                       | 66353 |
| blaze_powder                        | 8918  |
| blaze_rod                           | 63338 |
| blaze_spawn_egg                     | 86660 |
| blue_banner                         | 42001 |
| blue_bed                            | 51868 |
| blue_candle                         | 61746 |
| blue_candle_cake                    | 24997 |
| blue_carpet                         | 92240 |
| blue_concrete                       | 43914 |
| blue_concrete_powder                | 26158 |
| blue_dye                            | 54411 |
| blue_glazed_terracotta              | 8610  |
| blue_ice                            | 58534 |
| blue_orchid                         | 87464 |
| blue_shulker_box                    | 6387  |
| blue_stained_glass                  | 73244 |
| blue_stained_glass_pane             | 98603 |
| blue_terracotta                     | 45450 |
| blue_wall_banner                    | 12252 |
| blue_wool                           | 26586 |
| bone                                | 29700 |
| bone_block                          | 99282 |
| bone_meal                           | 23870 |
| book                                | 29737 |
| bookshelf                           | 24257 |
| bow                                 | 97738 |
| bowl                                | 29986 |
| brain_coral                         | 32328 |
| brain_coral_block                   | 26262 |
| brain_coral_fan                     | 33340 |
| brain_coral_wall_fan                | 67797 |
| bread                               | 1400  |
| brewing_stand                       | 16631 |
| brick                               | 5313  |
| brick_slab                          | 63576 |
| brick_stairs                        | 56584 |
| brick_wall                          | 72520 |
| bricks                              | 64818 |
| brown_banner                        | 37589 |
| brown_bed                           | 48952 |
| brown_candle                        | 57334 |
| brown_candle_cake                   | 20705 |
| brown_carpet                        | 87828 |
| brown_concrete                      | 49294 |
| brown_concrete_powder               | 18506 |
| brown_dye                           | 51495 |
| brown_glazed_terracotta             | 5950  |
| brown_mushroom                      | 11073 |
| brown_mushroom_block                | 40655 |
| brown_shulker_box                   | 2095  |
| brown_stained_glass                 | 77880 |
| brown_stained_glass_pane            | 16143 |
| brown_terracotta                    | 91406 |
| brown_wall_banner                   | 7960  |
| brown_wool                          | 5374  |
| bubble_column                       | 89193 |
| bubble_coral                        | 58942 |
| bubble_coral_block                  | 79180 |
| bubble_coral_fan                    | 46450 |
| bubble_coral_wall_fan               | 72895 |
| bucket                              | 64138 |
| budding_amethyst                    | 24189 |
| bundle                              | 85314 |
| cactus                              | 32013 |
| cake                                | 45944 |
| calcite                             | 73029 |
| campfire                            | 97495 |
| candle                              | 44045 |
| candle_cake                         | 21866 |
| carrot                              | 76771 |
| carrot_on_a_stick                   | 60366 |
| carrots                             | 66800 |
| cartography_table                   | 4489  |
| carved_pumpkin                      | 72586 |
| cat_spawn_egg                       | 48088 |
| cauldron                            | 18306 |
| cave_air                            | 17336 |
| cave_spider_spawn_egg               | 89721 |
| cave_vines                          | 38136 |
| cave_vines_plant                    | 80675 |
| chain                               | 23425 |
| chain_command_block                 | 96347 |
| chainmail_boots                     | 34138 |
| chainmail_chestplate                | 16668 |
| chainmail_helmet                    | 86452 |
| chainmail_leggings                  | 46353 |
| charcoal                            | 1773  |
| chest                               | 27585 |
| chest_minecart                      | 26321 |
| chicken                             | 7989  |
| chicken_spawn_egg                   | 9111  |
| chipped_anvil                       | 13808 |
| chiseled_deepslate                  | 94819 |
| chiseled_nether_bricks              | 53903 |
| chiseled_polished_blackstone        | 35179 |
| chiseled_quartz_block               | 22291 |
| chiseled_red_sandstone              | 25225 |
| chiseled_sandstone                  | 75223 |
| chiseled_stone_bricks               | 49558 |
| chorus_flower                       | 26036 |
| chorus_fruit                        | 33499 |
| chorus_plant                        | 70898 |
| clay                                | 56225 |
| clay_ball                           | 11549 |
| clock                               | 55854 |
| coal                                | 59095 |
| coal_block                          | 79077 |
| coal_ore                            | 474   |
| coarse_dirt                         | 41431 |
| cobbled_deepslate                   | 89901 |
| cobbled_deepslate_slab              | 64204 |
| cobbled_deepslate_stairs            | 10812 |
| cobbled_deepslate_wall              | 73148 |
| cobblestone                         | 86912 |
| cobblestone_slab                    | 43385 |
